                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.81562,                0.45076,                 1.1273,                0.89888,                 0.8172,                 0.8606,                 0.5026,                 1.4725,                0.74887,                  1.668,                0.00035,                0.00035,                0.00035
                    127,                0.84029,                0.46157,                 1.1592,                0.88912,                0.80645,                0.85242,                0.50359,                 1.4833,                0.71707,                 1.7184,              0.0003368,              0.0003368,              0.0003368
                    128,                0.81081,                0.43535,                 1.1204,                 0.8724,                 0.8172,                0.84973,                0.51035,                 1.4703,                0.74071,                 1.6998,              0.0003236,              0.0003236,              0.0003236
                    129,                0.81103,                0.43967,                 1.1565,                0.88951,                 0.8172,                   0.85,                0.50721,                 1.4439,                0.74407,                 1.6803,              0.0003104,              0.0003104,              0.0003104
                    130,                0.79484,                0.45053,                 1.1189,                0.88498,                0.82737,                0.84229,                0.50215,                 1.4268,                 0.7729,                 1.6648,              0.0002972,              0.0002972,              0.0002972
                    131,                0.79818,                 0.4476,                 1.1378,                0.89409,                0.81699,                0.84137,                0.49264,                  1.426,                0.73622,                 1.6574,               0.000284,               0.000284,               0.000284
                    132,                0.85215,                0.48128,                 1.1638,                 0.8864,                 0.7957,                0.84441,                0.49758,                 1.4448,                0.72268,                 1.6762,              0.0002708,              0.0002708,              0.0002708
                    133,                0.79788,                0.45203,                 1.1279,                0.89013,                0.78406,                0.81969,                0.50358,                 1.4533,                 0.7646,                  1.679,              0.0002576,              0.0002576,              0.0002576
                    134,                0.79314,                0.46261,                 1.1242,                 0.8835,                0.80645,                0.83918,                0.51717,                 1.4506,                0.79757,                 1.6786,              0.0002444,              0.0002444,              0.0002444
                    135,                0.78718,                 0.4334,                 1.1079,                0.87818,                0.82796,                0.86588,                0.51947,                 1.4544,                0.77036,                  1.696,              0.0002312,              0.0002312,              0.0002312
